problem,metric,value
Problem1,overall_mape,0.08386074153033322
Problem1,mape_by_horizon_mean,0.08386074153033324
Problem1,cv_mape_mean,0.24651451636786914
Problem2,precision,0.1346153846153846
Problem2,recall,0.175
Problem2,f1,0.15217391304347827
Problem2,tn,1019.0
Problem2,fp,45.0
Problem2,fn,33.0
Problem2,tp,7.0
Problem3,profit_improvement_pct,0.36631144760954637
Problem3,optimized_profit,3706961440.489042
Problem3,optimized_variance,18938183.669272434
Problem3,baseline_profit,3693431976.3500004
Problem3,baseline_variance,21123803.394606303
Problem3,mc_uplift_pct_mean,0.3463614015826898
Problem3,mc_prob_var_ok,0.0
Problem4,rmse,0.2968644357687477
Problem4,mae,0.22912878327210937
Problem4,mape,1.287572832240786
