series_id,mape
AH|ACNF,0.08587159151828844
AH|AH_FIT,0.0575855967213297
AH|AH_R,0.10249489386636242
AH|ALL,0.05258939358186768
AH|AWUF,0.10179368319417166
AH|MB,0.06994627258113033
CL|ALL,0.08665965025062078
CL|CL,0.14486273457480392
CL|CL_FIT,0.06440066716841197
CL|CL_MB,0.11687974338914225
CN|ALL,0.06006812151889765
CN|CN_1PH,0.08264094218817218
CN|CN_3PH,0.06982814732972882
CN|CN_FIT,0.09542091298584708
FN|ALL,0.08279220015823828
FN|FN_80_MULTI,0.08469366844064748
FN|FN_80_VAR,0.09876418489083401
FN|FN_90_MULTI,0.1030841880257393
FN|FN_90_VAR,0.06664756102864904
HP|ALL,0.07401977460000397
HP|HP_1PH,0.08643093041784683
HP|HP_3PH,0.08636814759332523
HP|HP_FIT,0.054954049173605364
