product,aps,year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
AH,ACNF,2025,12545.746891476476,12923.300596034756,14590.332570174021,16307.07261193022,17289.715678501612,17468.454901110345,17484.201277026226,16370.530038913355,14915.25922824118,13816.9360409291,12917.08023287385,12817.486059501955
AH,AH_FIT,2025,7692.152986501535,8705.514086264138,8517.094101582588,10247.50205828913,11210.23044296968,11757.784599897512,12324.038081078415,11708.808576719144,11063.936382268423,9709.157382870942,8782.48493572947,8467.683247271754
AH,AH_R,2025,7054.666747987676,7595.173511694031,8585.816229270456,9769.96883564038,10486.143195380288,10816.0983821088,11045.073568479667,10234.109342423426,9467.556499128781,8441.89945248862,7763.6359448077765,7713.234879094211
AH,ALL,2025,56404.70553220694,59634.0971094264,64782.567259482894,73821.28608991853,83185.16292395996,85251.3963098787,89305.50190155198,84235.92173676459,77256.33980488422,69255.50941930283,61011.728471546114,56979.57216579712
AH,AWUF,2025,7456.067351266712,7757.620341259379,8701.471900458419,9882.12966798769,10403.10912629617,10652.235896245369,10954.544807908438,10134.692498691067,9184.518185809002,8592.582640316887,7877.753934164041,7898.827760844023
AH,MB,2025,21143.219359530376,21603.43791955548,24645.346802135486,27278.575866107356,30382.061711027243,32004.411930423026,33731.88614130827,31333.576526332818,28887.62261490597,26664.624725207053,23280.89870529291,21221.661646579556
CL,ALL,2025,26249.224267398007,29093.040704469724,31906.417859499237,36765.864648162555,40343.63550364252,43348.92489943959,44841.78569320056,42571.11922984496,38876.452311000525,35804.94403443558,32251.970215682373,32229.68252450599
CL,CL,2025,13275.764381716628,13887.714581358798,15048.699903089508,16992.081174472736,18472.931572044647,20235.1547633125,20137.026938295534,19091.057245328062,17268.111258340417,16138.124420975946,14355.865438931633,14183.21367714424
CL,CL_FIT,2025,5112.5685346549135,5413.844402380554,5784.356929213289,6705.115696776335,7260.015262414839,7596.432546893794,7960.680443158641,7671.627342874455,6818.009189715482,6186.205640510097,5557.182820327924,5458.698884173427
CL,CL_MB,2025,10769.515420525217,11563.132110546863,12768.398130297928,15197.626361649549,16142.525854458829,16910.413225713794,17738.009902292564,16736.396921598924,14888.628378316207,13838.689121839418,11990.735651444118,12107.916529226699
CN,ALL,2025,42467.723478053515,43794.98001538099,49374.20937578959,56108.93688646962,63621.56959695654,68273.95169173792,69927.78524828171,66878.17012944435,62488.74983454269,54003.68496727181,49291.30590447621,44150.0013492632
CN,CN_1PH,2025,28890.737283038106,29467.592527470995,32612.02984200836,37033.87805287034,42185.340056126544,44685.78339436427,46294.70353205732,44177.731795314685,41981.63014286865,36301.304345078795,34702.32593472997,33339.80797672452
CN,CN_3PH,2025,4396.068204828313,4670.933975591027,5089.7152434408,5628.969860807648,6424.448255378946,6667.4122333500545,6923.406989675096,6623.529023492903,6204.043843565151,5449.994496450167,5002.557243077403,4741.763891155693
CN,CN_FIT,2025,11194.577007536418,11881.4227543626,13152.342530230631,14438.856312103791,16418.697999595606,17145.934232578074,18220.764328553687,16790.504414872164,15951.614806407986,13510.929267545693,12629.881383762144,11975.887695311538
FN,ALL,2025,63959.75795279231,59951.04032335256,55792.18945384349,47996.081687160724,42879.076135830386,39499.212525503244,39923.71731737437,43565.42241329194,48732.75965837141,55682.2107657197,60031.59428290781,61028.0497811793
FN,FN_80_MULTI,2025,15283.477865673556,14499.009637096926,13606.83043172491,11258.500298669116,10482.491341589894,9866.277324079612,9410.240771537117,10459.458498230922,11403.899113772302,13263.524953787011,14683.108722189345,14949.625776171084
FN,FN_80_VAR,2025,29416.19877219414,28177.668114344742,26201.53330980027,22756.267327072088,20823.585870369705,20111.550177305577,19674.572119589306,20772.93198175199,22745.742910484987,25565.49985000474,27590.91817367322,28410.570514774296
FN,FN_90_MULTI,2025,9428.256554712187,9267.655548171013,8597.568023565193,7365.522956328037,6738.509352301535,6510.997136166547,6462.18869279314,6656.095049620976,7416.380210755531,8230.731083895751,8907.553518896006,9013.501123227798
FN,FN_90_VAR,2025,8025.2833238500125,7979.868251319589,7389.5840137567775,6233.697124715045,5604.056303828725,5137.757017174334,4792.360622371526,5171.093110007835,5803.972646503385,6457.166096878793,7205.483756802887,7530.702681115145
HP,ALL,2025,59793.19244297958,64389.20865337169,68414.42099403581,78012.27875927574,85863.2418361397,88266.38597333497,92519.14488311998,91286.9578634844,82429.50200468794,73611.56138177945,64665.64727537097,62933.887689274896
HP,HP_1PH,2025,26843.57208993861,27701.884994277236,28598.986925909547,33071.88801270255,36251.24921016718,37163.5146363034,38866.71062644872,38148.57808468989,34939.81466825288,31122.910158368493,27377.949117550743,27981.67407637781
HP,HP_3PH,2025,15391.718857615499,16819.606582299308,18450.752326316608,20864.033198194164,22052.552771166072,22527.27663107911,22630.22091129014,22274.910342028303,19555.42768742278,18044.529242877546,15973.953896069148,16041.51285744016
HP,HP_FIT,2025,19059.96570881824,20702.40983477174,22059.72834809123,25664.972555894274,28404.371739081434,29412.605884867713,30902.98914884162,30373.95431615816,27916.278543027052,25345.458799114283,21279.06885670151,21616.507300892394
